이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,C,제조업(10-34),673.33,574.8
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,G,도매 및 소매업(45-47),1438.26,1243.57
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,H,운수 및 창고업(49-52),200.0,175.82
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,I,숙박 및 음식점업(55-56),1142.2,843.01
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,J,정보통신업(58-63),3550.0,5468.33
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,M,전문  과학 및 기술 서비스업(70-73),533.33,303.98
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),60.0,155.4
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,P,교육 서비스업(85),720.0,487.15
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,Q,보건업 및 사회복지 서비스업(86-87),2376.67,1780.14
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,R,예술  스포츠 및 여가관련 서비스업(90-91),748.15,2201.82
2021,01,30,대전광역시,30170,서구,3017011200,둔산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),1247.37,713.36
2021,01,30,대전광역시,30170,서구,3017011300,월평동,C,제조업(10-34),62.62,118.82
2021,01,30,대전광역시,30170,서구,3017011300,월평동,G,도매 및 소매업(45-47),2399.65,1535.27
2021,01,30,대전광역시,30170,서구,3017011300,월평동,H,운수 및 창고업(49-52),86.67,115.94
2021,01,30,대전광역시,30170,서구,3017011300,월평동,I,숙박 및 음식점업(55-56),1426.8,962.92
2021,01,30,대전광역시,30170,서구,3017011300,월평동,J,정보통신업(58-63),3950.0,5512.55
2021,01,30,대전광역시,30170,서구,3017011300,월평동,M,전문  과학 및 기술 서비스업(70-73),56.25,48.59
